seccion,titular,enlace_noticia
Cambio climático,Este auto de hielo de la Fórmula E muestra los efectos del cambio climático,https://www.latercera.com/la-tercera-tv/noticia/este-auto-de-hielo-de-la-formula-e-muestra-los-efectos-del-cambio-climatico/OOCAQXVC7ZE7JNRUIHAKJBDP7U/
China,Imágenes de dron muestran la calles de Zhengzhou inundadas luego de estremecedor temporal,https://www.latercera.com/la-tercera-tv/noticia/imagenes-de-dron-muestran-la-calles-de-zhengzhou-inundadas-luego-de-estremecedor-temporal/SK5TVCWH7NHHBMPNL5ILNHTQFU/
Medioambiente,Descubren plástico y celulosa en la dieta de los pingüinos de la Antártica,https://www.latercera.com/que-pasa/noticia/descubren-plastico-y-celulosa-en-la-dieta-de-los-pinguinos-de-la-antartica/TIS7NAGZ4NHV3GATYSRTVJC6GM/
Pulso PM,El repunte del café se volverá ‘violento’ ante heladas en Brasil,https://www.latercera.com/pulso-pm/noticia/el-repunte-del-cafe-se-volvera-violento-ante-heladas-en-brasil/FZX5XD52KJDMRHFMD6OJ7WUOJ4/
Cambio Climático,Merkel reitera llamado a “acelerar” la acción climática tras las inundaciones,https://www.latercera.com/mundo/noticia/merkel-reitera-llamado-a-acelerar-la-accion-climatica-tras-las-inundaciones/FODFZDZTKVGLLP6QAWQSBQOFZM/
Bootleg,El gran incendio de Oregon está cambiando el clima,https://www.latercera.com/la-tercera-tv/noticia/el-gran-incendio-de-oregon-esta-cambiando-el-clima/5LAFHFXPWFHLTNUAXG2X4DGQTI/
Pulso PM,BHP estaría considerando retirarse del negocio del petróleo y el gas,https://www.latercera.com/pulso-pm/noticia/bhp-estaria-considerando-retirarse-del-negocio-del-petroleo-y-el-gas/CDYHTHC2LFHMNKGYZSPEWMDBQI/
Ciencia,"Resiliencia, no colapso en Isla de Pascua: estudio asegura que los rapa nui no exterminaron sus árboles y que se trata solo de un mito",https://www.latercera.com/que-pasa/noticia/resiliencia-no-colapso-en-isla-de-pascua-estudio-asegura-que-los-rapa-nui-no-exterminaron-sus-arboles-y-que-se-trata-solo-de-un-mito/KFR2NGD6QJD3HOQQOPW5TX54LE/
Medioambiente,Altas temperaturas marcan el inicio del julio más caluroso de los últimos seis años,https://www.latercera.com/que-pasa/noticia/altas-temperaturas-marcan-el-inicio-del-julio-mas-caluroso-de-los-ultimos-seis-anos/INDONH4S4ZHAFPN3T46E46VEVY/
Opinión,Aumento del nivel del mar y el futuro de las ciudades costeras,https://www.latercera.com/que-pasa/noticia/aumento-del-nivel-del-mar-y-el-futuro-de-las-ciudades-costeras/HOFRR3IULRBF3NWQLHDO2U457Q/
Cambio climático,Los esfuerzos de un grupo de científicos para evitar el deshielo de un glaciar en Italia,https://www.latercera.com/la-tercera-tv/noticia/los-esfuerzos-de-un-grupo-de-cientificos-para-evitar-el-deshielo-de-un-glaciar-en-italia/624FEJLDMRE2FEO52S6LG5CBNY/
Opinión,Educar para enfrentar el cambio climático,https://www.latercera.com/que-pasa/noticia/educar-para-enfrentar-el-cambio-climatico/UUYGCASBSNCFBJM6TLXLN5AUBY/
Cambio climático,Extrema ola de calor afecta el noroeste de EE.UU.,https://www.latercera.com/la-tercera-tv/noticia/extrema-ola-de-calor-afecta-el-noroeste-de-eeuu/BYWQB4ITEJC47P7XUXDKOPCTSA/
Pulso PM,Así ha impactado el cambio climático a la producción de palta y otras especies de la Región de Valparaíso,https://www.latercera.com/pulso/noticia/asi-ha-impactado-el-cambio-climatico-a-la-produccion-de-palta-y-otras-especies-de-la-region-de-valparaiso/A3NZF2Q2FJF65GY7JFSMWSYEXA/
Opinión,Enfoque de género para la adaptación al cambio climático en el sector pesca y acuicultura,https://www.latercera.com/que-pasa/noticia/enfoque-de-genero-para-la-adaptacion-al-cambio-climatico-en-el-sector-pesca-y-acuicultura/FIHV2LLVQVCM3NQR23CDRLZ7L4/
